,SVM,feature,nb,size,tree
0,0.5313756127450981,HALSTEAD_EFFORT,0.5,"(200, 1)",0.47605698529411766
1,0.5486825980392157,HALSTEAD_PROG_TIME,0.3228048406862745,"(200, 2)",0.4723973651960784
2,0.5218045343137254,HALSTEAD_VOLUME,0.4627803308823529,"(200, 3)",0.5419607843137254
3,0.5164797794117647,HALSTEAD_LENGTH,0.4556387867647059,"(200, 4)",0.5367478553921567
4,0.5140027573529411,NUM_OPERATORS,0.46859528186274507,"(200, 5)",0.5172181372549021
5,0.5186197916666666,NUM_OPERANDS,0.4745618872549019,"(200, 6)",0.5290257352941177
6,0.5132444852941177,HALSTEAD_CONTENT,0.4779090073529411,"(200, 7)",0.5192830882352941
7,0.5132827818627451,NUMBER_OF_LINES,0.4712132352941176,"(200, 8)",0.4983088235294118
8,0.5171997549019607,EDGE_COUNT,0.46703737745098034,"(200, 9)",0.4803799019607844
9,0.5184114583333334,NUM_UNIQUE_OPERANDS,0.470375306372549,"(200, 10)",0.4798651960784313
10,0.5180070465686274,NODE_COUNT,0.46773131127450984,"(200, 11)",0.4988848039215686
11,0.5167279411764706,LOC_TOTAL,0.4653278186274511,"(200, 12)",0.48525735294117656
12,0.5198560049019607,LOC_EXECUTABLE,0.4698422181372549,"(200, 13)",0.5287009803921567
13,0.5155346200980391,HALSTEAD_DIFFICULTY,0.4670266544117648,"(200, 14)",0.4926164215686274
14,0.5294240196078431,PERCENT_COMMENTS,0.4652772671568627,"(200, 15)",0.563982843137255
15,0.5294025735294118,CONDITION_COUNT,0.46178002450980393,"(200, 16)",0.536501225490196
16,0.5319393382352942,CALL_PAIRS,0.4582567401960785,"(200, 17)",0.5392830882352941
17,0.5323268995098039,NUM_UNIQUE_OPERATORS,0.4611504289215686,"(200, 18)",0.5367830882352942
18,0.5288250612745097,LOC_BLANK,0.4620297181372549,"(200, 19)",0.5766911764705882
19,0.5328523284313725,BRANCH_COUNT,0.4648498774509804,"(200, 20)",0.5789644607843137
20,0.5377971813725491,LOC_COMMENTS,0.4588082107843137,"(200, 21)",0.5987193627450982
21,0.5396920955882354,MULTIPLE_CONDITION_COUNT,0.46064338235294117,"(200, 22)",0.5950122549019609
22,0.5438541666666666,DECISION_COUNT,0.4554243259803922,"(200, 23)",0.6121139705882352
23,0.5403400735294117,CYCLOMATIC_COMPLEXITY,0.4621614583333333,"(200, 24)",0.6117340686274509
24,0.5401746323529412,GLOBAL_DATA_COMPLEXITY,0.4633700980392157,"(200, 25)",0.5856127450980392
25,0.5402634803921569,DESIGN_COMPLEXITY,0.4643688725490196,"(200, 26)",0.6163235294117646
26,0.5398330269607843,HALSTEAD_ERROR_EST,0.45862285539215675,"(200, 27)",0.6033517156862744
27,0.5368719362745098,MODIFIED_CONDITION_COUNT,0.46311734068627447,"(200, 28)",0.5830514705882354
28,0.5420435049019608,NORMALIZED_CYLOMATIC_COMPLEXITY,0.4607797181372549,"(200, 29)",0.6012928921568628
29,0.5385539215686276,CYCLOMATIC_DENSITY,0.4638342524509804,"(200, 30)",0.6327450980392157
30,0.5377450980392157,PARAMETER_COUNT,0.4587147671568627,"(200, 31)",0.623296568627451
31,0.5426669730392157,ESSENTIAL_COMPLEXITY,0.45821844362745096,"(200, 32)",0.5981985294117647
32,0.542359068627451,MAINTENANCE_SEVERITY,0.45733915441176476,"(200, 33)",0.606875
33,0.5451102941176471,LOC_CODE_AND_COMMENT,0.4558532475490196,"(200, 34)",0.6161887254901961
34,0.5468688725490196,HALSTEAD_LEVEL,0.45558823529411774,"(200, 35)",0.636985294117647
35,0.54421875,GLOBAL_DATA_DENSITY,0.4617631740196078,"(200, 36)",0.6184436274509804
36,0.5304197303921568,DESIGN_DENSITY,0.4661534926470588,"(200, 37)",0.6167708333333332
37,0.5327343750000001,ESSENTIAL_DENSITY,0.4647457107843137,"(200, 38)",0.6293259803921568
38,0.526545649509804,DECISION_DENSITY,0.4617861519607843,"(200, 39)",0.631703431372549
