,eps,samples,num
0,25,10,3
1,26,15,3
2,27,15,3
3,27,16,3
4,28,16,3
5,29,16,3
6,29,17,3
7,30,13,3
8,30,15,3
9,30,17,3
10,31,13,3
11,31,14,3
12,31,15,3
13,31,16,3
14,31,17,3
15,32,12,3
16,32,14,3
17,32,15,3
18,32,16,3
19,32,17,3
20,32,18,3
21,33,13,3
22,33,14,3
23,33,15,3
24,33,16,3
25,33,17,3
26,33,18,3
27,33,19,3
28,33,20,3
29,34,13,3
30,34,15,3
31,34,16,3
32,34,17,3
33,34,18,3
34,34,19,3
35,34,20,3
36,34,21,3
37,35,13,3
38,35,15,3
39,35,16,3
40,35,17,3
41,35,18,3
42,35,19,3
43,35,20,3
44,35,21,3
45,35,22,3
46,36,16,3
47,36,17,3
48,36,20,3
49,36,21,3
50,36,22,3
51,36,23,3
52,36,24,3
53,37,16,3
54,37,17,3
55,37,18,3
56,37,20,3
57,37,21,3
58,37,22,3
59,37,23,3
60,37,24,3
61,38,16,3
62,38,17,3
63,38,18,3
64,38,20,3
65,38,21,3
66,38,22,3
67,38,23,3
68,38,24,3
69,38,25,3
70,39,16,3
71,39,17,3
72,39,18,3
73,39,19,3
74,39,20,3
75,39,21,3
76,39,22,3
77,39,23,3
78,39,24,3
79,39,25,3
80,40,17,3
81,40,18,3
82,40,19,3
83,40,20,3
84,40,21,3
85,40,22,3
86,40,23,3
87,40,24,3
88,40,25,3
89,41,14,3
90,41,18,3
91,41,19,3
92,41,20,3
93,41,21,3
94,41,22,3
95,41,23,3
96,41,24,3
97,41,25,3
98,41,26,3
99,42,14,3
100,42,21,3
101,42,22,3
102,42,23,3
103,42,24,3
104,42,25,3
105,42,26,3
106,42,27,3
107,43,14,3
108,43,22,3
109,43,23,3
110,43,24,3
111,43,25,3
112,43,26,3
113,43,27,3
114,44,14,3
115,44,22,3
116,44,23,3
117,44,24,3
118,44,25,3
119,44,26,3
120,44,27,3
121,45,14,3
122,45,22,3
123,45,23,3
124,45,24,3
125,45,25,3
126,45,26,3
127,45,27,3
128,45,28,3
129,46,15,3
130,46,16,3
131,46,23,3
132,46,24,3
133,46,25,3
134,46,26,3
135,46,27,3
136,46,28,3
137,47,16,3
138,47,24,3
139,47,25,3
140,47,26,3
141,47,27,3
142,47,28,3
143,48,16,3
144,48,24,3
145,48,25,3
146,48,26,3
147,48,27,3
148,48,28,3
149,48,29,3
150,49,16,3
151,49,24,3
152,49,25,3
153,49,26,3
154,49,27,3
155,49,28,3
156,49,29,3
157,50,16,3
158,50,24,3
159,50,25,3
160,50,26,3
161,50,27,3
162,50,28,3
163,50,29,3
164,51,5,3
165,51,6,3
166,51,16,3
167,51,26,3
168,51,27,3
169,51,28,3
170,51,29,3
171,51,30,3
172,52,5,3
173,52,6,3
174,52,16,3
175,52,27,3
176,52,28,3
177,52,29,3
178,52,30,3
179,53,5,3
180,53,6,3
181,53,16,3
182,53,27,3
183,53,28,3
184,53,29,3
185,53,30,3
186,53,31,3
187,54,2,3
188,54,3,3
189,54,4,3
190,54,7,3
191,54,15,3
192,54,16,3
193,54,28,3
194,54,29,3
195,54,30,3
196,54,31,3
197,55,2,3
198,55,3,3
199,55,4,3
200,55,7,3
201,55,15,3
202,55,16,3
203,55,28,3
204,55,29,3
205,55,30,3
206,55,31,3
207,56,2,3
208,56,3,3
209,56,4,3
210,56,7,3
211,56,8,3
212,56,14,3
213,56,15,3
214,56,16,3
215,56,29,3
216,56,30,3
217,56,31,3
218,56,32,3
219,57,2,3
220,57,3,3
221,57,4,3
222,57,7,3
223,57,8,3
224,57,14,3
225,57,15,3
226,57,16,3
227,57,17,3
228,57,29,3
229,57,30,3
230,57,31,3
231,57,32,3
232,58,2,3
233,58,3,3
234,58,4,3
235,58,7,3
236,58,8,3
237,58,14,3
238,58,15,3
239,58,16,3
240,58,17,3
241,58,29,3
242,58,30,3
243,58,31,3
244,58,32,3
245,59,2,3
246,59,3,3
247,59,4,3
248,59,8,3
249,59,14,3
250,59,15,3
251,59,16,3
252,59,17,3
253,59,32,3
254,60,2,3
255,60,3,3
256,60,4,3
257,60,8,3
258,60,9,3
259,60,14,3
260,60,15,3
261,60,16,3
262,60,32,3
263,61,2,3
264,61,3,3
265,61,4,3
266,61,5,3
267,61,8,3
268,61,9,3
269,61,14,3
270,61,15,3
271,61,16,3
272,61,17,3
273,61,18,3
274,61,32,3
275,61,33,3
276,62,2,3
277,62,3,3
278,62,4,3
279,62,5,3
280,62,8,3
281,62,9,3
282,62,14,3
283,62,15,3
284,62,16,3
285,62,17,3
286,62,18,3
287,62,32,3
288,62,33,3
289,62,34,3
290,62,35,3
291,63,2,3
292,63,3,3
293,63,4,3
294,63,5,3
295,63,8,3
296,63,9,3
297,63,14,3
298,63,15,3
299,63,16,3
300,63,17,3
301,63,18,3
302,63,33,3
303,63,34,3
304,63,35,3
305,63,36,3
306,63,37,3
307,64,2,3
308,64,3,3
309,64,4,3
310,64,5,3
311,64,8,3
312,64,9,3
313,64,14,3
314,64,15,3
315,64,16,3
316,64,17,3
317,64,18,3
318,64,33,3
319,64,34,3
320,64,35,3
321,64,36,3
322,64,37,3
323,64,38,3
324,65,2,3
325,65,3,3
326,65,4,3
327,65,5,3
328,65,8,3
329,65,9,3
330,65,14,3
331,65,15,3
332,65,16,3
333,65,17,3
334,65,18,3
335,65,33,3
336,65,34,3
337,65,35,3
338,65,36,3
339,65,37,3
340,65,38,3
341,66,2,3
342,66,3,3
343,66,4,3
344,66,5,3
345,66,8,3
346,66,9,3
347,66,10,3
348,66,15,3
349,66,16,3
350,66,17,3
351,66,18,3
352,66,35,3
353,66,36,3
354,66,37,3
355,66,38,3
356,66,39,3
357,67,2,3
358,67,3,3
359,67,4,3
360,67,5,3
361,67,9,3
362,67,10,3
363,67,11,3
364,67,15,3
365,67,16,3
366,67,17,3
367,67,18,3
368,67,37,3
369,67,38,3
370,67,39,3
371,68,2,3
372,68,3,3
373,68,4,3
374,68,5,3
375,68,9,3
376,68,10,3
377,68,11,3
378,68,15,3
379,68,16,3
380,68,17,3
381,68,18,3
382,68,19,3
383,68,37,3
384,68,38,3
385,68,39,3
386,69,2,3
387,69,3,3
388,69,4,3
389,69,5,3
390,69,9,3
391,69,10,3
392,69,11,3
393,69,15,3
394,69,16,3
395,69,17,3
396,69,18,3
397,69,19,3
398,69,39,3
399,69,40,3
400,70,2,3
401,70,3,3
402,70,4,3
403,70,5,3
404,70,9,3
405,70,10,3
406,70,11,3
407,70,15,3
408,70,16,3
409,70,17,3
410,70,18,3
411,70,19,3
412,70,39,3
413,70,40,3
414,71,2,3
415,71,3,3
416,71,4,3
417,71,5,3
418,71,10,3
419,71,11,3
420,71,12,3
421,71,13,3
422,71,16,3
423,71,17,3
424,71,18,3
425,71,19,3
426,71,20,3
427,71,40,3
428,71,41,3
429,72,2,3
430,72,3,3
431,72,4,3
432,72,5,3
433,72,10,3
434,72,11,3
435,72,12,3
436,72,13,3
437,72,16,3
438,72,17,3
439,72,18,3
440,72,19,3
441,72,20,3
442,72,40,3
443,72,41,3
444,73,2,3
445,73,3,3
446,73,4,3
447,73,5,3
448,73,10,3
449,73,11,3
450,73,12,3
451,73,13,3
452,73,16,3
453,73,17,3
454,73,18,3
455,73,19,3
456,73,20,3
457,73,41,3
458,74,2,3
459,74,3,3
460,74,4,3
461,74,5,3
462,74,10,3
463,74,11,3
464,74,12,3
465,74,13,3
466,74,16,3
467,74,17,3
468,74,18,3
469,74,19,3
470,74,20,3
471,75,2,3
472,75,3,3
473,75,4,3
474,75,5,3
475,75,10,3
476,75,11,3
477,75,12,3
478,75,13,3
479,75,16,3
